id,name,title,is_virtual_fg,description,parents,includes,path
type.31,svc-popul,Clone discovery analysis,0,Clone discovery tool,type.331,,/type.13/type.67/type.16/type.331/type.31
type.32,svc-dmStrDistri,UniProt position to PDB structure Mapper,0,Determines the secondary structure of the site of interest by mapping the position in UniProtKB to corresponding PDB structure,type.331,,/type.13/type.67/type.16/type.331/type.32
type.33,svc-dmUniPDBMap,UniProtKB to PDB Feature Mapper,0,UniProtKB to PDB Feature Mapper,type.331,,/type.13/type.67/type.16/type.331/type.33
type.34,svc-dmNgsPred,N-Glycosylation Prediction,0,N-Glycosylation Prediction,type.331,,/type.13/type.67/type.16/type.331/type.34
type.35,svc-recomb,Recombination Polyplot Computation Engine,0,Recombination Polyplot Computation Engine,type.331,,/type.13/type.67/type.16/type.331/type.35
type.111,base_descriptive_type,HIVE Database Information,0,Reoccuring database fields,type.67,,/type.13/type.67/type.111
type.36,HIVE_Run,HIVE Run,0,HIVE Run data model,type.111,,/type.13/type.67/type.111/type.36
type.37,HIVE_Project_2,HIVE Project,0,HIVE Project data model,type.111,,/type.13/type.67/type.111/type.37
type.38,HIVE_Sample,HIVE Sample,0,HIVE Sample data model,type.111,,/type.13/type.67/type.111/type.38
type.39,HIVE_Protocol_2,HIVE Experiment 2,0,HIVE Experiment data model,type.111,type.140,/type.13/type.67/type.111/type.39
type.91,svc-align-rnaseq,RNA-seq Alignments,0,RNA-seq Alignments,type.347,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.91
type.40,svc-align-tophat,TopHat aligment,0,TopHat based workflow,type.91,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.91/type.40
type.41,svc-sb-SingleCellPCR,Single Cell PCR engine,0,Some nice description will eventuall come here,type.331,,/type.13/type.67/type.16/type.331/type.41
type.42,svc-clust,Hierarchical clustering engine,0,Hierarchical clustering tool for alignment profiling results,type.331,,/type.13/type.67/type.16/type.331/type.42
type.44,svc-align-magic,Magic alignment,0,,type.91,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.91/type.44
type.45,u-annot,Annotation File,0,Sequence Annotation Object,type.22,,/type.13/type.67/type.19/type.22/type.45
type.46,svc-sb-Treatment,Treatment Object,0,Treatment Object definition,type.67,,/type.13/type.67/type.46
type.47,svc-sb-Donor,Donor Object,0,Donor Object,type.67,,/type.13/type.67/type.47
type.48,svc-sb-Experiment,Experiment Object,0,Experiment Object,type.67,,/type.13/type.67/type.48
type.49,svc-sb-Gene,Gene Object,0,Gene Object,type.67,,/type.13/type.67/type.49
type.50,svc-sb-Sample,Sample Object,0,Sample Object,type.67,,/type.13/type.67/type.50
type.51,svc-hiveseq,Hiveseq Service,0,Service to manipulate sequences files,type.331,,/type.13/type.67/type.16/type.331/type.51
type.52,svc-example,Example Service,0,Example service for teaching,type.331,,/type.13/type.67/type.16/type.331/type.52
type.54,svc-archiver,File processing service,0,,type.330,,/type.13/type.67/type.16/type.330/type.54
type.55,svc-align-bwa,BWA Service,0,Burrows Wheeler Aligner,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.55
type.56,svc-denovo-velvet,Velvet de novo service,0,Velvet de novo assembler,type.25,,/type.13/type.67/type.16/type.331/type.29/type.25/type.56
type.57,svc-spectraPeakDetection,Mass Spectroscopy Peak Detection,0,Mass Spectroscopy Peak Detection,type.331,,/type.13/type.67/type.16/type.331/type.57
type.58,svc-align-hexagon-batch,HIVE-Hexagon Batch,0,HIVE-hexagon batch submitter,type.17,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.17/type.58
type.59,svc-denovo-oases,Oases denovo service,0,Oases de novo assembler,type.25,,/type.13/type.67/type.16/type.331/type.29/type.25/type.59
type.60,webform-Setting,Set web page or part of page,0,Set web form,type.84,,/type.13/type.84/type.60
type.62,directory,Directory Object,1,Directory Object for hierarchial organization of objects,,,/type.62
type.63,folder,Folder,0,Folders to organize objects hierarchically,"type.67,type.62",,/type.13/type.67/type.63
type.64,u-usage,User Usage ,0,Collect User information ,type.84,,/type.13/type.84/type.64
type.65,image,Image Object ,0,Show different kinds of image,type.19,,/type.13/type.67/type.19/type.65
type.66,special,Special Object,0,Manage internal object,type.84,,/type.13/type.84/type.66
type.67,base_user_type,Base type for all user types,1,Type from which all visible user types are inherited,type.13,,/type.13/type.67
type.68,svc-generic-launcher,Launcher Service,0,Service to launch an external application,type.331,,/type.13/type.67/type.16/type.331/type.68
type.94,svc-align-multiple,Multiple Alignments,0,Multiple Alignments,type.25,,/type.13/type.67/type.16/type.331/type.29/type.25/type.94
type.69,svc-align-clustal,Clustal multiple alignment,0,,type.94,,/type.13/type.67/type.16/type.331/type.29/type.25/type.94/type.69
type.70,svc-align-mafft,Mafft multiple alignment,0,,type.94,,/type.13/type.67/type.16/type.331/type.29/type.25/type.94/type.70
type.71,svc-denovo-abyss,Abyss de novo service,0,Abyss de novo assembler,type.25,,/type.13/type.67/type.16/type.331/type.29/type.25/type.71
type.72,genome,Genomic sequence,0,Sequence which represents genome of an organism,type.3,,/type.13/type.67/type.19/type.22/type.3/type.72
type.73,nuc-read,Nucleotide read,0,Nucleotide read,type.3,,/type.13/type.67/type.19/type.22/type.3/type.73
type.74,svc-genemark,Genmark Annotation utility,0,Genmark annotation engine,type.331,,/type.13/type.67/type.16/type.331/type.74
type.75,svc-censuScope,CensuScope: Metagenome Analyzer,0,Rapid Metagenome Profiler,type.331,,/type.13/type.67/type.16/type.331/type.75
type.76,svc-profx,External Sequence Profiling Engine,0,General external profiler engine,type.29,,/type.13/type.67/type.16/type.331/type.29/type.76
type.77,svc-profx-samtools,Samtools based SNP caller,0,Samtools based SNP caller,type.76,,/type.13/type.67/type.16/type.331/type.29/type.76/type.77
type.78,spectra,Spectra,0,,type.19,,/type.13/type.67/type.19/type.78
type.79,spectra-lib,Spectra Library,0,,type.19,,/type.13/type.67/type.19/type.79
type.80,spectra-MS,MS Spectra,0,,type.19,,/type.13/type.67/type.19/type.80
type.81,svc-algorlda,Regularized Linear Discrimininant Analysis,0,Clusterization and classification RLDA utility,type.331,,/type.13/type.67/type.16/type.331/type.81
type.82,svc-dna-screening,Screen Short Read Against Genome,0,Random pick sequences to run alignment with specific genome,type.29,,/type.13/type.67/type.16/type.331/type.29/type.82
type.83,svc-dna-recomer,Recombinant K-mer,0,K-mer based recombinant analysis tool,type.29,,/type.13/type.67/type.16/type.331/type.29/type.83
type.84,base_system_type,Base type for all system objects,1,Type from which all system level types are inherited,type.13,,/type.13/type.84
type.126,sysfile,System File,0,,"type.84,type.230",,/type.13/type.84/type.126
type.85,algorithm,Algorithm objects,1,All executable algorithms base object,type.126,,/type.13/type.84/type.126/type.85
type.86,algorithm-alignment,Alignment algorihtms,1,Alignment algorihtms,type.85,,/type.13/type.84/type.126/type.85/type.86
type.87,qpsvc,Service,0,Service,type.84,,/type.13/type.84/type.87
type.88,qphost,Host,0,Host,type.84,,/type.13/type.84/type.88
type.89,algorithm-alignment-rnaseq,RNA-seq Alignment algorihtms,0,RNA-seq Alignment algorihtms,type.86,,/type.13/type.84/type.126/type.85/type.86/type.89
type.90,svc-align-dnaseq,DNA-seq Alignments,0,DNA-seq alignmnent,type.347,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90
type.91,svc-align-rnaseq,RNA-seq Alignments,0,RNA-seq Alignments,type.347,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.91
type.92,algorithm-alignment-dnaseq,DNA-seq Alignment Algorithms,0,DNA-seq Alignment Algorithms,type.86,,/type.13/type.84/type.126/type.85/type.86/type.92
type.93,algorithm-alignment-multiple,Multiple Alignment Algorithms,0,Multiple Alignment Algorithms,type.86,,/type.13/type.84/type.126/type.85/type.86/type.93
type.94,svc-align-multiple,Multiple Alignments,0,Multiple Alignments,type.25,,/type.13/type.67/type.16/type.331/type.29/type.25/type.94
type.95,svc-test-konstantin,Konstantins Test Algorithm,0,Konstantins Test Algorithm Description,type.331,,/type.13/type.67/type.16/type.331/type.95
type.96,svc-dna-hexagon-batch,Dna Hexagon Batch,0,Launches Dna Hexagon in Batch Mode,type.68,,/type.13/type.67/type.16/type.331/type.68/type.96
type.97,svc-dna-demo,HIVE Environment Demo,0,Performs basic qc on a sequence file,type.331,,/type.13/type.67/type.16/type.331/type.97
type.98,user-settings,User Settings,0,Collection of User Setting Parameters,type.84,,/type.13/type.84/type.98
type.99,sysfolder,System Folder,0,Folder managed by the system (Inbox etc),"type.84,type.62",,/type.13/type.84/type.99
type.100,svc-dmTableToViodbParser,Table to Viodb ,0,Table to Viodb - Annotation,"type.331,type.356",,/type.13/type.67/type.16/type.331/type.100
type.101,svc-profx-cuffdiff,Cuffdiff diferential RNA-Seq,0,Cuffdiff diferential RNA-Seq analysis tool,type.76,,/type.13/type.67/type.16/type.331/type.29/type.76/type.101
type.102,user-info,User Profile Details,0,Webform to gather HIVE user biographical and profile information,type.10,,/type.13/type.84/type.10/type.102
type.103,cdrh-patient,CDRH Patient,0,HIVE type to describe CDRH patient,type.67,,/type.13/type.67/type.103
type.104,cdrh-device,CDRH Device,0,HIVE type to describe CDRH device,type.67,,/type.13/type.67/type.104
type.105,cdrh-advEvent,CDRH Adverse Event,0,HIVE type to describe CDRH adverse event,type.67,,/type.13/type.67/type.105
type.106,cdrh-analysis,CDRH Analysis,0,HIVE type to describe CDRH analysis,type.67,,/type.13/type.67/type.106
type.107,cdrh-testing,CDRH Testing Procedures,0,HIVE type to describe CDRH analysis,type.67,,/type.13/type.67/type.107
type.108,svc-wideeye,Image Processing,0,EMR Data,type.331,,/type.13/type.67/type.16/type.331/type.108
type.132,HIVE_Sample_Eukaryotic,Eukaryotic Biological Sample,0,Sample collected from eukaryotic biological specimen,type.38,,/type.13/type.67/type.111/type.38/type.132
type.110,HIVE_Sample_Animal,HIVE Sample - Animal,0,Sample originated from animal tissue,type.132,,/type.13/type.67/type.111/type.38/type.132/type.110
type.111,base_descriptive_type,HIVE Database Information,0,Reoccuring database fields,type.67,,/type.13/type.67/type.111
type.112,HIVE_Adverse_Event,HIVE Adverse Event,0,Event Input,type.111,,/type.13/type.67/type.111/type.112
type.113,svc-align-bowtie2,BowTie2 Alignment,0,BowTie version 2 engine optimized for HIVE,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.113
type.114,HIVE_Adverse_Event_Cancer,HIVE Adverse Event - Cancer,0,Cancer event fields,type.112,,/type.13/type.67/type.111/type.112/type.114
type.115,svc-algo-annotMapper,Annotation Mapper,0,Maps 2 or more annotations to each other,type.331,,/type.13/type.67/type.16/type.331/type.115
type.116,svc-profiler-refcmp,Sequence Profile Match to References,0,Compares alignment profiling result to arbitrary reference sequences,type.331,,/type.13/type.67/type.16/type.331/type.116
type.117,type-test,test the type,0,testType,type.67,,/type.13/type.67/type.117
type.119,jing-test-subtype,Sub type for testing 'type use',0,,,type.120,/type.119
type.120,jing-test-subtype2,2nd level sub type for testing 'type use',0,,type.13,type.19,/type.13/type.120
type.121,svc-annovar,Annovar Service,0,This is a front end service for Annovar,type.331,,/type.13/type.67/type.16/type.331/type.121
type.122,omics,Set of Omics measurements,0,"Pre-processed microarray, proteomic, or ChIP-chip measurements",type.67,,/type.13/type.67/type.122
type.123,svc-textClustering,Text Clustering,0,Text Based Clustering Algorithm,type.331,,/type.13/type.67/type.16/type.331/type.123
type.124,svc-align-blat,Blat Alignment,0,Blat alignment engine parallellized by HIVE,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.124
type.125,svc-mothur,mothur-Metagenome Analyser,0,Mothur -metagenome analyser,type.331,,/type.13/type.67/type.16/type.331/type.125
type.126,sysfile,System File,0,,"type.84,type.230",,/type.13/type.84/type.126
type.127,system-image,System Image,0,,type.126,,/type.13/type.84/type.126/type.127
type.128,dev-project,Developer Project,0,Prioritized Developments,type.84,,/type.13/type.84/type.128
type.129,HIVE_Patient,HIVE Patient Data Model,0,Database entery object for information regarding patient,type.111,,/type.13/type.67/type.111/type.129
type.130,HIVE_Treatment,HIVE Treatment,0,Database entery object for information regarding treatment,type.111,,/type.13/type.67/type.111/type.130
type.131,Vahan-Test,Vahan Test,0,Test for Vahan,type.131,,/type.131
type.132,HIVE_Sample_Eukaryotic,Eukaryotic Biological Sample,0,Sample collected from eukaryotic biological specimen,type.38,,/type.13/type.67/type.111/type.38/type.132
type.133,HIVE_Sample_Prokaryotic,Prokaryotic Biological Sample,0,Sample collected from prokaryotic biological specimen,type.38,,/type.13/type.67/type.111/type.38/type.133
type.134,HIVE_Sample_Metagenomic,Metagenomic Biological Sample,0,Metagenomic sample ,type.38,,/type.13/type.67/type.111/type.38/type.134
type.135,HIVE_Sample_Microbiome,Microbiome Biological Sample,0,Microbiome sample collectyed from eukaryotic organisms,type.134,,/type.13/type.67/type.111/type.38/type.134/type.135
type.136,HIVE_Sample_Viral,Viral Biological Sample,0,Sample collected from viral specimen,type.38,,/type.13/type.67/type.111/type.38/type.136
type.137,HIVE_Sample_Environmental,Environmental Sample,0,Metagenomic sample accumulated from environmental speciment,type.134,,/type.13/type.67/type.111/type.38/type.134/type.137
type.138,HIVE_Sample_Human,Human biological sample,0,Sample collected from human tissue,type.110,,/type.13/type.67/type.111/type.38/type.132/type.110/type.138
type.139,HIVE_Sample_Vaccine,Vaccine Sample,0,Vaccine sample collected from attentuated virus,type.136,,/type.13/type.67/type.111/type.38/type.136/type.139
type.140,xref,External Reference,0,Reference to records from external sources,,,/type.140
type.141,iref,Internal Reference,0,Reference to internal records,,,/type.141
type.142,HIVE_NGS_Protocol,NGS sequencing experiment,0,Next Generation Sequencing Experiment object,type.39,,/type.13/type.67/type.111/type.39/type.142
type.143,HIVE_MS_Protocol,Mass Spectroscopic experiment,0,Mass-Spec spectroscopic Experiment object,type.39,,/type.13/type.67/type.111/type.39/type.143
type.144,HIVE_Adverse_Reaction,HIVE Adverse Reaction,0,Information about an adverse reaction,type.112,,/type.13/type.67/type.111/type.112/type.144
type.252,core_descriptive_type,HIVE Database Information,0,Reoccuring database fields,type.67,"type.140,type.210,type.211",/type.13/type.67/type.252
type.246,HIVE_Project,HIVE Project,0,HIVE Project data model,type.252,,/type.13/type.67/type.252/type.246
type.145,HIVE_Project_Clinical,Clinical Project,0,Information about a clinical study,"type.246,type.160",,/type.13/type.67/type.252/type.246/type.145
type.150,HIVE_Findings,Findings of Study,0,Information about the findings,type.67,,/type.13/type.67/type.150
type.151,svc-HoneyBee,HoneyComb Mapper Service,0,,type.331,,/type.13/type.67/type.16/type.331/type.151
type.152,svc-cvm-1,CVM Bacterial Analysis,0,CVM Bacterial Analysis for antibiotic resistant genes.,type.17,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.17/type.152
type.153,tblqryx4,Table Query X4,1,,type.67,,/type.13/type.67/type.153
type.154,excel-file,Microsoft Excel file,0,,"type.19,type.298",,/type.13/type.67/type.19/type.154
type.155,sample_project_name,Sample Project,0,Contains Sample Project name field,,,/type.155
type.156,HIVE_Adverse_Event_Recall,HIVE Adverse Event - Recall,0,Information regarding a recall event,type.112,,/type.13/type.67/type.111/type.112/type.156
type.209,base_metadata_type,HIVE Base Metadata,0,About: Basic metadata fields (for now used with biosample primarily),type.67,"type.160,type.200,type.211,type.212,type.213",/type.13/type.67/type.209
type.157,HIVE_BioSample,HIVE BioSample,0,About: Biosample base (what where when who why links),"type.209,type.201",type.184,/type.13/type.67/type.209/type.157
type.158,Product_Recall,Recall Product,0,Information regarding a recall project,type.111,,/type.13/type.67/type.111/type.158
type.162,HIVE_BioSample_Metagenomic,HIVE BioSample - Metagenomic,0,About: Metagenomic biosample contains Environmental and Microbiome packages,type.157,type.200,/type.13/type.67/type.209/type.157/type.162
type.169,HIVE_BioSample_Microbiome,HIVE BioSample - Metagenomic Microbiome,0,About: Microbiome biosamples are metagenomic vary according to the host organism and the specific tissue,type.162,,/type.13/type.67/type.209/type.157/type.162/type.169
type.159,host_base_block,Host General,0,"About: Information about the host organism under Microbiome Base, Metagenomic",type.169,"type.183,type.184,type.206",/type.13/type.67/type.209/type.157/type.162/type.169/type.159
type.160,submission_type,Submission,0,"About: Submission time, validity and submitter",type.67,type.210,/type.13/type.67/type.160
type.161,HIVE_BioSample_Genomic,HIVE BioSample - Genomic,0,"About: Genomic biosamples include Viral, Prokaryotic, Eukaryotic and Synthetic categories",type.157,type.213,/type.13/type.67/type.209/type.157/type.161
type.162,HIVE_BioSample_Metagenomic,HIVE BioSample - Metagenomic,0,About: Metagenomic biosample contains Environmental and Microbiome packages,type.157,type.200,/type.13/type.67/type.209/type.157/type.162
type.163,HIVE_BioSample_Synthetic,HIVE BioSample - Synthetic,0,About: Synthetic biosample ,type.157,,/type.13/type.67/type.209/type.157/type.163
type.191,HIVE_BioSample_Host_Animal,HIVE BioSample - Metagenomic Microbiome - Animal Host,0,About: Animal host includes host-base-block and specific descriptors to animals,type.159,type.185,/type.13/type.67/type.209/type.157/type.162/type.169/type.159/type.191
type.164,HIVE_BioSample_Host_Human,HIVE BioSample - Metagenomic Microbiome - Human Host,0,About: Human specific fields include host base and host animal,type.191,,/type.13/type.67/type.209/type.157/type.162/type.169/type.159/type.191/type.164
type.165,HIVE_BioSample_Viral,HIVE BioSample - Viral,0,About: Viral biosamples include Virus and Vaccine packages,type.161,,/type.13/type.67/type.209/type.157/type.161/type.165
type.166,HIVE_BioSample_Prokaryotic,HIVE BioSample - Prokaryotic,0,About: Prokaryotic biosamples include Bacteria and Archaea packages ,type.161,,/type.13/type.67/type.209/type.157/type.161/type.166
type.167,HIVE_BioSample_Eukaryotic,HIVE BioSample - Eukaryotic,0,"About: Eukaryotic biosamples include Animal (model organism and human), Plant, Fungi and Protista packages",type.161,,/type.13/type.67/type.209/type.157/type.161/type.167
type.168,HIVE_BioSample_Environmental,HIVE BioSample - Metagenomic Environmental,0,"About: Environmental biosamples vary by the environmental medium, e.g. air, water etc.",type.162,type.213,/type.13/type.67/type.209/type.157/type.162/type.168
type.169,HIVE_BioSample_Microbiome,HIVE BioSample - Metagenomic Microbiome,0,About: Microbiome biosamples are metagenomic vary according to the host organism and the specific tissue,type.162,,/type.13/type.67/type.209/type.157/type.162/type.169
type.171,microbiome_descriptors,Microbiome Description,0,About: Consists of NCBI fields used to describe the microbiome properties,type.169,type.183,/type.13/type.67/type.209/type.157/type.162/type.169/type.171
type.173,HIVE_BioSample_Virus,HIVE BioSample - Virus,0,About: Virus biosample,type.165,,/type.13/type.67/type.209/type.157/type.161/type.165/type.173
type.174,HIVE_BioSample_Vaccine,HIVE BioSample - Vaccine,0,About: Attenuated vaccine biosample,type.165,,/type.13/type.67/type.209/type.157/type.161/type.165/type.174
type.175,HIVE_BioSample_Bacteria,HIVE BioSample - Bacteria,0,About: Prokaryotic bacteria biosample (prokaryotic microbe),type.166,,/type.13/type.67/type.209/type.157/type.161/type.166/type.175
type.176,HIVE_BioSample_Archaea,HIVE BioSample - Archaea,0,About: Prokaryotic archea biosample,type.166,,/type.13/type.67/type.209/type.157/type.161/type.166/type.176
type.177,HIVE_BioSample_Animal,HIVE BioSample - Animal,0,About: Animal biosample contains animal (model organism) and human packages,type.167,"type.183,type.185",/type.13/type.67/type.209/type.157/type.161/type.167/type.177
type.178,HIVE_BioSample_Plant,HIVE BioSample - Plant,0,About: Plant biosample,type.167,type.200,/type.13/type.67/type.209/type.157/type.161/type.167/type.178
type.179,HIVE_BioSample_Fungus,HIVE BioSample - Fungus,0,About: Fungus biosample,type.167,,/type.13/type.67/type.209/type.157/type.161/type.167/type.179
type.180,HIVE_BioSample_Protista,HIVE BioSample - Protista,0,About: Protista biosample (eukaryotic microbe),type.167,,/type.13/type.67/type.209/type.157/type.161/type.167/type.180
type.181,HIVE_BioSample_Host_Plant,HIVE BioSample - Metagenomic Microbiome - Plant Host,0,About: Specific plant host descriptors include base host block,type.159,,/type.13/type.67/type.209/type.157/type.162/type.169/type.159/type.181
type.182,HIVE_BioSample_Human,HIVE BioSample - Human,0,About: Human biosample,type.177,,/type.13/type.67/type.209/type.157/type.161/type.167/type.177/type.182
type.183,geo_location,Geographical Location,0,About: geolocation block,type.67,,/type.13/type.67/type.183
type.184,genotype_phenotype,Genotype and Phenotype Map,0,About: observed genotype and/or phenotype of interest ,type.67,,/type.13/type.67/type.184
type.185,breed_info,Breed,0,About: Breed information is chiefly used in animals and plants,type.67,,/type.13/type.67/type.185
type.186,HIVE_BioSample_Environmental_Air,HIVE BioSample - Metagenomic Environmental - Source: Air,0,About: Environment air,type.168,type.200,/type.13/type.67/type.209/type.157/type.162/type.168/type.186
type.187,HIVE_BioSample_Environmental_Built,HIVE BioSample - Metagenomic Environmental - Source: Built,0,About: Environment built,type.168,type.200,/type.13/type.67/type.209/type.157/type.162/type.168/type.187
type.188,HIVE_BioSample_Environmental_Soil,HIVE BioSample - Metagenomic Environmental - Source: Soil,0,About: Environment soil,type.168,"type.200,type.213",/type.13/type.67/type.209/type.157/type.162/type.168/type.188
type.189,HIVE_BioSample_Environmental_Water,HIVE BioSample - Metagenomic Environmental - Source: Water,0,About: Environment water,type.168,type.200,/type.13/type.67/type.209/type.157/type.162/type.168/type.189
type.191,HIVE_BioSample_Host_Animal,HIVE BioSample - Metagenomic Microbiome - Animal Host,0,About: Animal host includes host-base-block and specific descriptors to animals,type.159,type.185,/type.13/type.67/type.209/type.157/type.162/type.169/type.159/type.191
type.192,HIVE_BioSample_Environmental_Sediment,HIVE BioSample - Metagenomic Environmental - Source: Sediment,0,About: Environment sediment,type.168,type.200,/type.13/type.67/type.209/type.157/type.162/type.168/type.192
type.199,references_block,External and Internal References,0,About: iref and xref references combined as blocks,type.67,"type.211,type.213",/type.13/type.67/type.199
type.200,base_attribute,Attributes,0,"About: attribute block includes key, units, value. ",type.67,,/type.13/type.67/type.200
type.201,biomaterial_condition,"Biomaterial general collection, processing and storage",0,"About: block about biosample collection, processing and storage details",type.67,"type.183,type.210",/type.13/type.67/type.201
type.202,svc-base-shell-script,Shell Script,0,Generic script to be executed by generic software adapter,type.68,,/type.13/type.67/type.16/type.331/type.68/type.202
type.203,svc-dna-mothur,Mothur Base Service ,0,Mothur Base Service,type.202,,/type.13/type.67/type.16/type.331/type.68/type.202/type.203
type.204,algorithm-script,Algorithmic Script,0,Adopted Script Driving an Algorithm,type.85,,/type.13/type.84/type.126/type.85/type.204
type.205,svc-profiler-heptagon,Sequence Profiling Engine,0,"Engine to perform coverage analysis ,base-calling, SNP calling ",type.27,,/type.13/type.67/type.16/type.331/type.29/type.27/type.205
type.206,sex_block,Sex,0,About: refers to the biological and physiological characteristics of an organism,type.67,,/type.13/type.67/type.206
type.207,plugin_tblqry,Table Query Plugin,0,DEfinition of Pluging input parameters and dynamic load lib,type.84,,/type.13/type.84/type.207
type.208,subject-event,Subject Event,0,Event associated to a subject under observation,type.67,,/type.13/type.67/type.208
type.209,base_metadata_type,HIVE Base Metadata,0,About: Basic metadata fields (for now used with biosample primarily),type.67,"type.160,type.200,type.211,type.212,type.213",/type.13/type.67/type.209
type.210,base_contact_type,Name and Contact Information,0,"About: Name, address, phone, fax, email and affiliation for any individual",type.67,,/type.13/type.67/type.210
type.211,Ireference,Internal References List,0,About: Internal references arranged as array BROKEN(cannot modify 141),,,/type.211
type.212,base_description_block,Descriptive Information,0,"About: Descriptive block contains names, title and description text",type.67,,/type.13/type.67/type.212
type.213,Xreference,External Reference List,0,About: external references,type.67,,/type.13/type.67/type.213
